C1orf112
GCLC
NFYA
STPG1
NIPAL3
RAD52
BAD
MAD1L1
ICA1
ALS2
SLC7A2
POLDIP2
SLC25A13
HCCS
DVL2
SLC25A5
POLR2J
LIG3
PRKAR2B
IBTK
MYCBP2
LAMP2
GDE1
CRLF1
TMEM132A
AP2B1
TAC1
AGK
CCL26
GGCT
IFRD1
COX10
PAF1
PROM1
CCDC124
RHBDF1
MYLIP
CDKL5
CYTH3
MED24
UBE3C
POMT2
RANBP9
METTL13
ZNF207
STARD3NL
PHF7
SCMH1
FYN
LYPLA2
APBA3
PLAUR
GABRA3
EXTL3
KDM5D
UBR7
PSMC4
POLR3B
DNASE1L1
UFL1
CAPN1
SLC30A9
ZMYND11
NUDCD3
GLT8D1
RUFY3
TTC27
PHLDB1
ZRANB1
ZFP64
SAMD4A
NRXN3
FHL1
ZNF839
RNH1
ERP44
ALAS1
AKAP11
DERA
STRAP
PLEKHO1
DEPDC1
NR1H3
TOMM34
AGPAT4
IFNGR1
B4GALT7
VEZT
BRD9
TBPL1
RABEP1
GRN
FAM13B
ARID4A
IFT88
ABCF2
FUT8
ATP6V0A1
APBA2
RNF19A
PEX3
DEPDC1B
NSMAF
TBC1D23
AGA
CTNS
TDP1
SPATA7
RETSAT
CAPG
AP2S1
USH2A
TRIT1
CUL7
PHKA2
WDR37
YTHDC2
ATP6V1H
DTNBP1
GOPC
USP28
TSPAN17
RRM2B
VPS13D
PER3
LTBP1
LETMD1
MAPK9
COL23A1
HERPUD1
RAD51
POLQ
PIK3CB
PRSS8
SIKE1
RRP12
NNAT
ANAPC4
TRAPPC3
OPN3
SZRD1
CYFIP2
KMT2C
GYG2
GDI2
ATG5
SEC61A1
ATP2B4
RIOK2
YIPF1
NDC1
ALDH18A1
TARBP1
SLC2A3
CTDP1
SNRNP40
MPC1
HDAC7
TNK2
CDH3
CS
ELMO2
APPBP2
ISOC2
MED29
GPC1
RNF4
ST3GAL6
HIPK2
TNPO3
LPAR2
CTSA
SLC12A2
SNX24
CNN2
ABCA7
DDX20
BTBD1
HMG20B
ANKS1A
ZNF76
NTHL1
WDR18
ERBB3
SPEN
MAP2K4
GSTO2
PRKCQ
TLE2
ASB1
FAM107B
ME1
PPP2R5A
DIP2B
NFYC
ZBTB11
GOLGA5
LRRC40
EML1
TRMT11
MYO9A
PFKP
PLPP1
