Xpo6
Tfe3
Axin2
Ccnd2
Gpr107
Drp2
Hddc2
Cdh1
Comt
Dbt
Mcts1
Rnf17
Ccm2
Tbrg4
Tmprss2
Galnt1
Wdr77
Sox9
Gm2a
Loxl3
Kat2b
Tcf7
Ddx3x
Usp32
Dnajc5
Dlg3
Smarcb1
Top1mt
Hoxa4
Slc7a7
Ilf2
Epn2
Sec24b
Zfp276
Kctd10
Ift20
Timp1
Mcm3ap
Snrnp27
Calm1
Uhrf1
Dpp9
Ramp2
Lsr
Gramd1a
Efnb2
Cnn1
Fbxo9
Cyp51
Itfg2
Ergic1
Tnk1
Hoxc8
Gstt1
Eef1e1
Akt1
Tcirg1
Coasy
Crnkl1
Chordc1
Pwp1
Capns1
Lrp3
Folr1
Clpb
Nup214
Aif1l
Ugp2
Vwf
Siae
Spa17
Grik3
Blvra
Bcap31
Kmt2a
Rab34
Ccne1
Acp2
Slc39a13
Ddb2
Sf3a1
Napsa
Mov10
Peg3
Dbf4
Daxx
Tm9sf1
Rec8
Mdp1
Armc6
Snx9
Rgs19
Tchp
Golga2
Ikzf4
Mien1
Ccdc97
Pdcd2l
Med6
Fkbp7
Baz1b
Tmem143
Tpra1
Nab1
Lamb1
Apoe
Ap1m1
Rab8a
Stard3nl
Stk11
Cdk12
Slc2a3
Foxj2
Dgcr2
Mpnd
Mrpl4
Ap1m2
Btbd2
Mob3a
Cacnb3
Fkbp11
Ddx23
Pld3
Prodh
Dgcr6
Cp
Insig2
Kpna6
Man1a
Kif20a
Farsa
Zfp81
Efnb3
Fancl
Dnaja3
Hmox2
Cwc15
Clcn5
Utp20
Bid
Dnajb11
Tbccd1
Zfp324
Pnpla6
Etfb
Chn2
Cnn2
Mtfp1
Rab23
Eif2b2
Dlst
Ulk2
Pax3
Tmem242
Hnrnpa2b1
Prkacb
Cstb
Cd44
Eif2ak4
Wdr83
Polr2a
Ripk4
Ubqln1
Msh6
Tbl2
Nid1
Usp40
Kbtbd4
Mef2c
Zfp592
Mthfd2
Kit
Pan2
Bcas2
Ctcf
Pard6a
Ranbp1
Slc30a4
Gpr108
Gata6
Apc
Ncoa2
Nr2c2
Kctd20
Ctns
Rcn1
Tpr
Snf8
Cdkal1
Htra1
Zbtb17
Tep1
Osgep
Tmbim1
Arpc2
Tfpt
Crip1
Pgrmc1
Gcat
Tek
Med8
Cdc20
Rnf114
Neurl1a
Bbs1
Aprt
Slc5a6
Cdc42
Acot13
Zfp184
Cyp27b1
Saal1
Cnp
Hap1
Lsm2
Gatad1
Homer1
Bcl2l1
Cct4
0610009B22Rik
Zmiz1
Ankrd26
Fhl2
Phax
Rnf151
Elavl2
Man1a2
Rala
Gabpa
Pdcl
Tmem184b
Nf2
Pttg1ip
Tnpo1
Srp14
Apobec3
Taf7l
Ppp2cb
Pla2g12b
Mcu
Nuak2
Snap47
Wnt3a
Vps4b
Tusc2
AI597479
Faf1
Mettl16
Pigyl
Acaa1b
Fads1
Phlda2
Apip
Pdhx
Brf1
Adam19
Sugp1
Zfp790
Git1
Gltp
Tmem167
Enkd1
Ndufs2
Cad
Sh3bp5l
Atad1
Prdm15
Dnajc7
Zswim7
Bicc1
Tsg101
Hps5
Map3k4
Piezo1
Rnf166
Ankrd28
Mrps25
